"조서관리코드","프로젝트코드","지자체","조서유형(구분)","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000AGZ199502150728","11000PPL199502155081","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","내수동 60 일대","내수구역3지구","0","","","12782","11000NTC199502155081"
"11000AGZ199502150775","11000PPL199502155081","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","내수동 225 일대","내수구역4지구","0","","","8059","11000NTC199502155081"
"11000AGZ199502150787","11000PPL199502155081","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","내수동 100 일대","내수구역1지구","0","","","7736","11000NTC199502155081"
"11000AGZ199502150788","11000PPL199502155081","서울특별시","신설","의제처리구역","정비구역","도시환경정비사업지구","내수동 72 일대","내수구역2지구","0","","","6964","11000NTC199502155081"
"11000AGZ199502220660","11000PPL199502225092","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","관악구 봉천동 산81, 산89번지일대","봉천7구역","169209","","","171384","11000NTC199502225092"
"11000AGZ200007261363","11000PPL200007269744","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업구역","관악구 봉천7동 산32번지 일대","봉천7-1주거환경개선지구","8519","","","8622","11000NTC200007269744"
"11000AGZ199805231010","11000PPL199805237994","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","서울 마포구 공덕동 38번지 일대","공덕제2주택재개발구역","38868","","","38875","11000NTC199805237994"
"11000AGZ199805231084","11000PPL199805237993","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","성북구 돈암동 606,616번지 일대","동소문주택재개발구역","288802","","","287581.2","11000NTC199805237993"
"11000AGZ199805281011","11000PPL199805288007","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","마포구 신공덕동 2-264번지 일대","신공덕제3주택재개발구역","15408","","","15395","11000NTC199805288007"
"11000AGZ199805300982","11000PPL199805308010","서울특별시","변경","의제처리구역","정비구역","주택재개발사업구역","동대문구 이문동 221일대","이문제3주택재개발구역","69235","","","70822","11000NTC199805308010"
"11000AGZ199806121025","11000PPL199806128024","서울특별시","변경","의제처리구역","정비구역","주거환경개선사업","동대문구 청량리동 822번지 일대","청량리제1주거환경개선지구","18332","","","18454.9","11000NTC199806128024"
